Row Labels,Dividends,Total labour compensation
10/01/1988,100,100
01/01/1989,103.6369416,100.7407929
04/01/1989,107.7702187,101.4868378
07/01/1989,112.7889458,102.2510549
10/01/1989,117.480512,103.0761508
01/01/1990,116.3136214,104.2421649
04/01/1990,109.505048,105.3009291
07/01/1990,109.5689134,106.1767557
10/01/1990,111.285983,106.74942
01/01/1991,110.617831,107.5776224
04/01/1991,112.6794067,108.139366
07/01/1991,114.9091805,109.0571439
10/01/1991,111.4306113,110.2709626
01/01/1992,116.4945096,111.0904362
04/01/1992,119.4145823,111.7263857
07/01/1992,121.1723376,112.116431
10/01/1992,121.7598165,112.4749746
01/01/1993,118.0440636,112.6211226
04/01/1993,124.5572762,113.1892963
07/01/1993,119.807777,113.7665562
10/01/1993,121.9812816,114.3191825
01/01/1994,124.6889781,114.691436
04/01/1994,120.5270918,114.7222562
07/01/1994,127.6515875,114.6990001
10/01/1994,132.9926032,114.3969471
01/01/1995,136.6892276,114.1954188
04/01/1995,139.3424718,114.4492416
07/01/1995,150.3196751,114.6261658
10/01/1995,162.4041923,114.9334939
01/01/1996,171.9982876,115.3422447
04/01/1996,182.4260678,115.7303607
07/01/1996,181.8751973,116.3120929
10/01/1996,175.6682679,116.6910301
01/01/1997,165.8993091,117.6492265
04/01/1997,171.2018666,119.0244055
07/01/1997,173.475331,120.4318842
10/01/1997,184.5348212,122.0526164
01/01/1998,192.3719737,122.9148382
04/01/1998,183.5546019,123.6336387
07/01/1998,172.275953,124.43661
10/01/1998,165.5415792,125.264242
01/01/1999,146.834921,126.9418902
04/01/1999,163.9366705,128.7517548
07/01/1999,168.8896742,130.5837506
10/01/1999,160.9660691,132.4485917
01/01/2000,178.6130875,134.610328
04/01/2000,154.6157845,136.4848496
07/01/2000,149.1560353,138.570253
10/01/2000,150.9963318,140.8355614
01/01/2001,154.4781614,143.1835851
04/01/2001,166.0129593,144.6401659
07/01/2001,186.2649034,145.6548079
10/01/2001,193.1721093,146.6082719
01/01/2002,195.6586271,146.6809974
04/01/2002,192.7008096,147.5557918
07/01/2002,182.4287715,148.1066075
10/01/2002,169.3719664,148.613906
01/01/2003,167.767287,149.372866
04/01/2003,174.5338634,150.1558016
07/01/2003,192.1240629,151.8282152
10/01/2003,201.9959341,153.8023667
01/01/2004,210.8686264,155.7037125
04/01/2004,209.1797351,157.6146514
07/01/2004,209.2314664,159.3665002
10/01/2004,219.5658996,160.5832871
01/01/2005,224.2443037,162.0165037
04/01/2005,229.6661756,163.1342935
07/01/2005,239.676263,163.7721502
10/01/2005,249.4328811,164.3096047
01/01/2006,251.4702461,165.4284934
04/01/2006,255.4765902,166.2424468
07/01/2006,250.2585259,167.1801887
10/01/2006,256.3564401,168.8049749
01/01/2007,257.2385881,170.0041371
04/01/2007,261.387926,171.4939799
07/01/2007,262.8123848,173.5556984
10/01/2007,261.7510498,174.4650916
01/01/2008,263.0940622,174.6952154
04/01/2008,270.0406366,174.376815
07/01/2008,270.02523,172.3803825
10/01/2008,263.0980847,170.8637299
01/01/2009,263.8424645,169.5334475
04/01/2009,280.0477159,169.3571
07/01/2009,285.6253118,169.7649658
10/01/2009,300.1166965,170.4425153
01/01/2010,292.8278691,170.8011291
04/01/2010,267.780977,170.0677398
07/01/2010,263.0005434,169.5646671
10/01/2010,246.7071073,168.2525727
01/01/2011,264.5235076,167.3034457
04/01/2011,270.590036,166.5935596
07/01/2011,272.2974711,165.1857171
10/01/2011,284.0434617,164.092306
01/01/2012,280.7157128,162.6218895
04/01/2012,284.295961,161.4446716
07/01/2012,278.6145979,160.4378061
10/01/2012,297.4047388,159.3092197
01/01/2013,290.1662056,158.0957031
04/01/2013,296.1864259,158.1204091
07/01/2013,310.9694215,158.113044
10/01/2013,304.7505633,158.5078932
01/01/2014,310.0615155,158.9590846
04/01/2014,327.1428522,157.6835573
07/01/2014,315.6699406,156.7026771
10/01/2014,305.7398589,155.8685786
01/01/2015,317.5655963,155.7527044
04/01/2015,315.385898,156.5207568
07/01/2015,346.4443039,157.9520275
10/01/2015,359.9813194,158.5634194
01/01/2016,367.6939838,159.2651645
04/01/2016,358.0911599,160.2309954
07/01/2016,326.8790827,160.7736887
10/01/2016,315.9344731,161.613591
01/01/2017,315.8637328,161.8236493
04/01/2017,316.3633951,161.539709
07/01/2017,330.5167357,161.5959594
10/01/2017,330.2892946,161.8302376
01/01/2018,334.3380086,162.526074
04/01/2018,341.3878338,162.8326067
07/01/2018,348.2527415,162.8342967
10/01/2018,367.2685332,163.3086984
01/01/2019,372.6692286,163.2503002
04/01/2019,370.4247145,164.072932
07/01/2019,372.9096561,164.7281389
10/01/2019,354.367464,165.0905803
01/01/2020,347.7401699,166.1976728
04/01/2020,336.494482,174.5896017
07/01/2020,329.249427,180.5335857
10/01/2020,333.5278693,185.0586172
01/01/2021,345.8963541,189.3515639
04/01/2021,346.8293987,184.289348
07/01/2021,354.8932135,180.7017629
10/01/2021,346.7491868,178.0184864
01/01/2022,327.610469,174.7690801
04/01/2022,326.6182058,172.0179422
07/01/2022,306.2191516,170.2643488
10/01/2022,301.0531874,168.534733
01/01/2023,288.2529535,166.9555869
04/01/2023,284.8765895,166.6401148
07/01/2023,279.1696591,167.1119429
10/01/2023,277.2114073,168.0307916
