Categories,Categories,Collective agreement,color
Accommodation and food service activities,Hospitality,4.9,#9CA4FC
Administrative and support service activities,Admin & support,8.5,#9CA4FC
All employees,All employees,26.6,#EDF67D
"Arts, entertainment and recreation",Art & culture,18.2,#9CA4FC
Construction,Construction,12.5,#9CA4FC
Education,Education,53.6,#9CA4FC
"Electricity, gas, steam and air conditioning supply",Energy,36.3,#9CA4FC
Financial and insurance activities,Finance,15.9,#9CA4FC
Human health and social work activities,Health & social work,37.8,#9CA4FC
Information and communication,ICT,8.3,#9CA4FC
Manufacturing,Manufacturing,17.4,#9CA4FC
Other service activities,Other services,13.3,#9CA4FC
"Professional, scientific and technical activities",Professional,8.7,#9CA4FC
Public administration and defence; compulsory social security,Public,55.9,#9CA4FC
Real estate activities,Real estate,9.4,#9CA4FC
Transportation and storage,Logistics,44.1,#9CA4FC
"Water supply, sewerage, waste management and remediation activities",Utilities,46.3,#9CA4FC
Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale,13.3,#9CA4FC
