name,x,low,high
Mixed or Multiple ethnic groups: White and Black Caribbean,18.5,7.2,28.5
Asian or Asian British: Bangladeshi,17.5,8.6,25.5
Asian or Asian British: Pakistani,13.3,5.8,20.3
"Black, African, Caribbean or Black British: Other Black",13.3,-1.6,26
Asian or Asian British: Other Asian,7.7,0.5,14.4
"Black, African, Caribbean or Black British: African",7.3,2.5,11.8
Mixed or Multiple ethnic groups: White and Black African,1.8,-29.1,25.3
"Black, African, Caribbean or Black British: Caribbean",1.7,-9.3,11.5
White: Other White,-0.6,-4.4,3.2
Other ethnic group: Any other ethnic group,-4,-12.9,4.2
Other ethnic group: Arab,-4.3,-34.7,19.2
Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,-14.4,-37.8,5.1
Mixed or Multiple ethnic groups: White and Asian,-17.4,-29.4,-6.5
Asian or Asian British: Indian,-19.9,-28.1,-12.3
Asian or Asian British: Chinese,-23,-40.2,-7.8
White: Irish,-40.1,-57.1,-24.9
