Ethnicity,Pay Gap
Mixed or Multiple ethnic groups: White and Black Caribbean,18.5
Asian or Asian British: Bangladeshi,17.5
Asian or Asian British: Pakistani,13.3
"Black, African, Caribbean or Black British: Other Black",13.3
Asian or Asian British: Other Asian,7.7
"Black, African, Caribbean or Black British: African",7.3
Mixed or Multiple ethnic groups: White and Black African,1.8
"Black, African, Caribbean or Black British: Caribbean",1.7
White: Other White,-0.6
Other ethnic group: Any other ethnic group,-4
Other ethnic group: Arab,-4.3
Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,-14.4
Mixed or Multiple ethnic groups: White and Asian,-17.4
Asian or Asian British: Indian,-19.9
Asian or Asian British: Chinese,-23
White: Irish,-40.1
