Geography,CTYUA23CD,category,"Population
aged 16 to 64
 2021","Employment
","Employment rate
","Unemployment
","Unemployment rate
","Economic inactivity
","Economic inactivity rate
","Claimant Count
","Claimant Count proportion
","Jobs
","Jobs Density
","Earnings by resident
","Earnings by workplace
","Notes
",included in GIS
County Durham,E06000047,Local Authority District,321,240,70.8,9,3.6,87,26.6,"10,636",3.3,213,0.66,550,520,,yes
Darlington,E06000005,Local Authority District,66,54,82.5,2,3.4,10,15.2,"2,823",4.3,58,0.88,584,583,,yes
Hartlepool,E06000001,Local Authority District,57,40,69.7,2,4.6,15,27.2,"2,978",5.3,36,0.64,573,577,,yes
Middlesbrough,E06000002,Local Authority District,89,61,68.8,3,5.1,22,25.4,"5,382",6.0,73,0.82,529,484,,yes
Northumberland,E06000057,Local Authority District,188,133,70.1,5,3.5,49,27.5,"6,087",3.2,126,0.67,569,543,,yes
Redcar and Cleveland,E06000003,Local Authority District,80,62,74.9,2,3.6,18,23.3,"3,330",4.1,45,0.56,511,513,,yes
Stockton-on-Tees,E06000004,Local Authority District,121,92,73.1,4,4.1,29,23.5,"4,916",4.1,93,0.77,561,576,,yes
Gateshead,E08000037,Local Authority District,122,96,72.0,4,4.1,33,25.0,"5,448",4.5,104,0.85,538,526,,yes
Newcastle upon Tyne,E08000021,Local Authority District,202,143,71.3,8,5.2,51,26.0,"9,009",4.5,207,1.02,602,611,,yes
North Tyneside,E08000022,Local Authority District,129,97,73.6,4,3.5,29,22.5,"4,419",3.4,93,0.72,575,535,,yes
South Tyneside,E08000023,Local Authority District,90,58,62.4,4,6.7,26,28.9,"5,029",5.6,49,0.54,518,450,,yes
Sunderland,E08000024,Local Authority District,170,129,73.1,5,4.0,43,24.9,"7,727",4.6,134,0.79,484,513,,yes
Blackburn with Darwen,E06000008,Local Authority District,97,64,67.9,3,4.7,26,28.6,"5,039",5.2,77,0.79,530,570,,yes
Blackpool,E06000009,Local Authority District,87,60,71.1,3,4.2,22,27.4,"5,715",6.6,75,0.86,470,542,,yes
Cheshire East,E06000049,Local Authority District,241,193,81.9,5,2.5,37,16.4,"5,602",2.3,223,0.92,638,597,,yes
Cheshire West and Chester,E06000050,Local Authority District,220,146,68.9,5,3.0,60,29.0,"5,602",2.5,192,0.87,620,599,,yes
Cumberland,E06000063,Local Authority District,165,134,79.6,4,2.6,28,17.3,"4,307",2.6,146,0.89,[x],[x],,yes
Halton,E06000006,Local Authority District,80,60,76.6,2,2.9,16,20.6,"3,412",4.3,69,0.86,598,612,,yes
Warrington,E06000007,Local Authority District,133,107,80.9,3,2.4,23,17.6,"3,247",2.4,155,1.17,630,625,,yes
Westmorland and Furness,E06000064,Local Authority District,134,106,80.9,3,1.5,22,17.6,"2,685",2.0,122,0.91,[x],[x],,yes
Bolton,E08000001,Local Authority District,182,128,68.5,7,4.9,49,27.5,"9,964",5.5,137,0.76,528,529,,yes
Bury,E08000002,Local Authority District,119,92,77.6,3,3.0,22,19.4,"5,068",4.2,84,0.70,609,530,,yes
Manchester,E08000003,Local Authority District,384,295,73.6,15,4.7,95,24.1,"23,084",6.0,471,1.23,529,610,,yes
Oldham,E08000004,Local Authority District,148,114,75.4,5,4.3,33,22.6,"9,531",6.4,94,0.63,545,539,,yes
Rochdale,E08000005,Local Authority District,138,102,72.5,5,4.4,33,24.9,"8,105",5.9,85,0.61,530,519,,yes
Salford,E08000006,Local Authority District,182,126,72.4,7,5.1,36,21.3,"9,220",5.1,155,0.85,555,575,,yes
Stockport,E08000007,Local Authority District,180,139,75.9,5,3.2,34,18.8,"5,791",3.2,158,0.88,632,549,,yes
Tameside,E08000008,Local Authority District,145,106,73.3,4,3.3,34,24.5,"6,690",4.6,82,0.57,527,498,,yes
Trafford,E08000009,Local Authority District,145,114,74.1,4,3.2,32,22.0,"4,378",3.0,180,1.24,683,585,,yes
Wigan,E08000010,Local Authority District,205,146,71.3,5,3.2,52,25.9,"7,789",3.8,125,0.61,584,525,,yes
Lancashire,E10000017,Local Authority District,756,566,74.7,21,3.5,168,23.2,"26,798",3.5,575,0.76,575,558,,yes
