region,Total,Female,Male
North East,19.05614616,22.12903214,15.94156666
Yorkshire and The Humber,16.36765141,19.95322359,12.91182914
Wales,16.50754503,19.80788802,13.21870605
East Midlands,15.61409882,19.36204534,11.83164954
South West,15.12510325,17.47114973,12.77047312
North West,14.80752882,18.05063185,11.60216378
Northern Ireland,14.24372665,17.72113232,10.58169072
West Midlands,13.75120289,17.6597203,9.952499471
South East,12.3610466,16.06811302,8.743124008
Scotland,11.3948859,13.84519244,8.879924859
East,11.04807993,14.65640294,7.522989251
London,7.919564993,10.00624227,5.947158243
