year,Underemployment rate,Overemployment rate
2002,6.807579467,10.87030549
2003,6.70990778,11.17046513
2004,6.4573017,10.90766282
2005,6.523206685,10.23904572
2006,6.808472781,9.98384673
2007,7.124789081,10.2483617
2008,7.568004262,9.686626344
2009,9.536376178,9.201242718
2010,10.04280155,9.791460351
2011,10.19366448,9.11715395
2012,10.61074448,9.123886726
2013,10.60993173,9.223806025
2014,9.845766995,9.819962143
2015,9.255781771,10.16487287
2016,8.520240314,10.50853189
2017,8.091367061,10.47599858
2018,7.678565264,10.34408774
2019,7.641961175,10.54186377
2020,8.621881152,10.32820457
2021,7.493547754,10.30198391
2022,6.98857122,9.964956869
2023,7.221268149,9.571338122
