date ,value
12/01/31,6983
01/01/32,3553
02/01/32,1937
03/01/32,1785
04/01/32,1720
05/01/32,1620
06/01/32,1584
07/01/32,1477
08/01/32,2387
09/01/32,5635
10/01/32,5783
11/01/32,6481
12/01/32,6488
01/01/33,6386
02/01/33,6314
03/01/33,6439
04/01/33,6486
05/01/33,6450
06/01/33,6469
07/01/33,6281
08/01/33,5164
09/01/33,1908
10/01/33,1761
11/01/33,1064
12/01/33,1072
01/01/34,998
02/01/34,936
03/01/34,892
04/01/34,858
05/01/34,935
06/01/34,937
07/01/34,987
08/01/34,915
09/01/34,874
10/01/34,890
11/01/34,917
12/01/34,959
01/01/35,1020
02/01/35,1051
03/01/35,1124
04/01/35,1258
05/01/35,1213
06/01/35,1187
07/01/35,1189
08/01/35,1257
09/01/35,1353
10/01/35,1750
11/01/35,1890
12/01/35,1955
01/01/36,1967
02/01/36,2104
03/01/36,2109
04/01/36,2044
05/01/36,2121
06/01/36,2239
07/01/36,2211
08/01/36,2153
09/01/36,2194
10/01/36,1871
11/01/36,1807
12/01/36,1829
01/01/37,2021
02/01/37,1893
03/01/37,1929
04/01/37,2263
05/01/37,2893
06/01/37,2815
07/01/37,3245
08/01/37,3402
09/01/37,3470
10/01/37,3588
11/01/37,3601
12/01/37,3413
01/01/38,3210
02/01/38,3259
03/01/38,3155
04/01/38,2831
05/01/38,2223
06/01/38,2285
07/01/38,1853
08/01/38,1700
09/01/38,1554
10/01/38,1379
11/01/38,1307
12/01/38,1334
01/01/39,1312
02/01/39,1295
03/01/39,1278
04/01/39,1274
05/01/39,1221
06/01/39,1176
07/01/39,1213
08/01/39,1250
09/01/39,1276
10/01/39,1285
11/01/39,1341
12/01/39,1356
01/01/40,1383
02/01/40,1435
03/01/40,1509
04/01/40,1447
05/01/40,1407
06/01/40,1288
07/01/40,1201
08/01/40,1096
09/01/40,1035
10/01/40,1036
11/01/40,939
12/01/40,940
01/01/41,856
02/01/41,711
03/01/41,822
04/01/41,936
05/01/41,907
06/01/41,991
07/01/41,987
08/01/41,1012
09/01/41,1052
10/01/41,1055
11/01/41,1084
12/01/41,1079
01/01/42,1114
02/01/42,1121
03/01/42,881
04/01/42,749
05/01/42,996
06/01/42,1259
07/01/42,1271
08/01/42,1269
09/01/42,1230
10/01/42,1460
11/01/42,1482
12/01/42,1527
01/01/43,1513
02/01/43,1525
03/01/43,1604
04/01/43,1611
05/01/43,1484
06/01/43,1240
07/01/43,1295
08/01/43,1400
09/01/43,1674
10/01/43,1500
11/01/43,1766
12/01/43,1807
01/01/44,1998
02/01/44,2229
03/01/44,3707
04/01/44,4352
05/01/44,4213
06/01/44,4139
07/01/44,4105
08/01/44,4087
09/01/44,3946
10/01/44,4018
11/01/44,3780
12/01/44,3714
01/01/45,3582
02/01/45,3369
03/01/45,2170
04/01/45,1550
05/01/45,1634
06/01/45,1794
07/01/45,1899
08/01/45,1885
09/01/45,1812
10/01/45,2694
11/01/45,2807
12/01/45,2837
01/01/46,2855
02/01/46,2978
03/01/46,2850
04/01/46,2909
05/01/46,2987
06/01/46,3009
07/01/46,3004
08/01/46,3063
09/01/46,3133
10/01/46,2309
11/01/46,2204
12/01/46,2160
01/01/47,2450
02/01/47,2425
03/01/47,2264
04/01/47,2351
05/01/47,2324
06/01/47,2310
07/01/47,2316
08/01/47,2268
09/01/47,2437
10/01/47,2360
11/01/47,2403
12/01/47,2432
01/01/48,2102
02/01/48,2232
03/01/48,2348
04/01/48,2732
05/01/48,2637
06/01/48,2696
07/01/48,2551
08/01/48,2553
09/01/48,2240
10/01/48,2081
11/01/48,1995
12/01/48,1945
01/01/49,1977
02/01/49,1747
03/01/49,1588
04/01/49,1095
05/01/49,1364
06/01/49,1287
07/01/49,1528
08/01/49,1679
09/01/49,1781
10/01/49,1793
11/01/49,1769
12/01/49,1807
01/01/50,1758
02/01/50,1791
03/01/50,1848
04/01/50,1872
05/01/50,1568
06/01/50,1471
07/01/50,1455
08/01/50,1234
09/01/50,1245
10/01/50,1425
11/01/50,1428
12/01/50,1388
01/01/51,1400
02/01/51,1648
03/01/51,1666
04/01/51,1659
05/01/51,1811
06/01/51,2021
07/01/51,1813
08/01/51,1833
09/01/51,1792
10/01/51,1659
11/01/51,1683
12/01/51,1695
01/01/52,1699
02/01/52,1435
03/01/52,1578
04/01/52,1503
05/01/52,1473
06/01/52,1371
07/01/52,1601
08/01/52,1695
09/01/52,1686
10/01/52,1668
11/01/52,1697
12/01/52,1792
01/01/53,1778
02/01/53,1867
03/01/53,1828
04/01/53,1825
05/01/53,1684
06/01/53,1541
07/01/53,1301
08/01/53,1188
09/01/53,1191
10/01/53,1212
11/01/53,1184
12/01/53,2183
01/01/54,2244
02/01/54,2211
03/01/54,2139
04/01/54,2142
05/01/54,2221
06/01/54,2230
07/01/54,2278
08/01/54,2291
09/01/54,2307
10/01/54,3303
11/01/54,3511
12/01/54,2458
01/01/55,2421
02/01/55,2445
03/01/55,2412
04/01/55,2533
05/01/55,3309
06/01/55,4573
07/01/55,4583
08/01/55,4590
09/01/55,4691
10/01/55,3766
11/01/55,3749
12/01/55,3782
01/01/56,3774
02/01/56,3808
03/01/56,4048
04/01/56,3992
05/01/56,3285
06/01/56,2090
07/01/56,2285
08/01/56,2373
09/01/56,2374
10/01/56,2383
11/01/56,2130
12/01/56,2083
01/01/57,2124
02/01/57,2041
03/01/57,5626
04/01/57,8058
