shorthand,Agriculture,Mining and Energy,Water Supply,Manufacturing,Construction,Wholesale and retail trade,Transport and Commnuication,Services,Public adminsitration,Education,Health and Social Care,Arts
01/01/2008,,,,,,,,,,,,
01/02/2008,,,,,,,,,,,,
01/03/2008,0,0,0.1,1.4,0,0,2.7,0,77,1.4,0.6,0.1
01/04/2008,0,0,0.3,2.7,0,0,0.4,0,123.2,96.5,1.2,0.2
01/05/2008,0,0,1.6,2.5,0,0,0.5,0.1,112.5,96.3,1.4,0.2
01/06/2008,0,0,1.7,2.4,2.5,0.1,3.3,0.1,47.7,97.5,0.9,0.6
01/07/2008,0,0,1.5,0.2,2.5,0.7,13.8,0.3,357.3,2.7,0.4,0.5
01/08/2008,0,0,0.2,0.4,2.6,0.7,14.9,0.3,425.1,5,0.2,0.7
01/09/2008,0,0,0.1,1.4,0.1,0.6,13.9,0.6,489.6,3.5,0.2,0.3
01/10/2008,0,0,0.1,1.8,0.1,0,6.8,0.5,132.9,4.2,0,0.3
01/11/2008,0,0,0.7,1.9,0.1,0,7,0.4,64.5,2,0,0.1
01/12/2008,0,0,0.7,1.1,0.1,0,5.5,0.2,0,1.3,0,0.1
01/01/2009,0,0,0.7,0.7,6.6,0,2.5,0.2,0.2,0.3,0,0
01/02/2009,0,0,0,0.5,18.9,0,2,0.2,0.5,0.7,0,0
01/03/2009,0,0,0,0.3,18.9,0,2.6,0.2,0.8,1.8,0,0
01/04/2009,0,0,0,0.3,12.4,0,4.2,0.1,0.9,1.7,0,0
01/05/2009,0,0,0.5,0.2,2.5,0,3.4,0.1,0.9,2.1,0,0
01/06/2009,0,0,1.2,0.3,39.7,0,10.4,0,0.74,1.7,0,0
01/07/2009,0,0,1.2,0.3,40,0,31.6,0,0.54,2.1,0,0
01/08/2009,0,0,0.7,0.4,37.7,0,67.9,0.2,0.24,1.3,0,0
01/09/2009,0,0.2,23.4,0.3,0.5,0,107.3,0.4,0.1,1.9,0,0
01/10/2009,0,0.2,61.2,0.3,0.4,0,248.6,0.4,1.1,2,0,0
01/11/2009,0,0.2,84.7,0,0.2,0,221.3,0.3,3.6,2.5,0,0
01/12/2009,0,0,61.6,0.2,0.2,0,175.9,0.1,3.6,1.3,0,0
01/01/2010,0,0,23.8,0.5,0,0,14,0.7,2.5,0.8,0,0
01/02/2010,0,0,0.3,1.1,0.8,0,6.1,0.7,0,0.2,0,0
01/03/2010,0,0,0,1.1,0.8,0,23.1,0.8,256.6,0.6,0,0
01/04/2010,0,0,0,0.8,0.8,0,21.7,0.2,256.6,0.9,0,0.8
01/05/2010,0,0,0,0.5,0,0,28.9,0.1,256.6,3.4,0,2.4
01/06/2010,0,0,0,0.4,0,0,15.6,0,0,3.6,0,2.5
01/07/2010,0,0,0,1.1,0,0,14.5,0,0,3.8,0,2.7
01/08/2010,0,0,0.2,0.8,0,0,6.9,0,0,1.7,0,1.3
01/09/2010,0,0,0.4,2.8,0,0,10.1,0,0,0.9,0,1.4
01/10/2010,0,0,0.4,3.4,0,0,19.4,0,2.2,0.4,0,0.8
01/11/2010,0,0,0.2,4,0,0,34.7,0,3.6,0.2,0,6.6
01/12/2010,0,0,0.5,4.8,0,0.7,27.2,0,3.6,0.3,0,7.8
01/01/2011,0,0,0.5,6.9,0,2,18.1,0,4.3,0.6,0,8.2
01/02/2011,0,0,0.5,6.3,0,2.5,2.4,0.2,3.4,1,0,2.3
01/03/2011,0,0,0,3.4,5.2,1.8,0.9,1.5,5.6,41.8,0,0.9
01/04/2011,0,0,0,0.1,13.6,0.5,0.5,1.5,6.5,42.6,0,0.1
01/05/2011,0,0,0.6,0.2,21.8,0,0.7,1.3,6.2,43.2,0.1,0
01/06/2011,0,0,2.8,0.4,16.6,0.1,0.9,2.6,109.5,161.6,0.3,1.2
01/07/2011,0,0,2.8,1,8.2,0.1,3.5,2.6,107.2,160.9,0.3,1.2
01/08/2011,0,0,3.1,1.8,0,0.1,5.9,2.6,107,159.7,0.2,1.2
01/09/2011,0,0,0.9,3.7,0.4,0,6.8,0,3.6,1.3,1,0
01/10/2011,0,0,0.9,3.1,0.8,0.2,4.8,0.2,2.6,3.5,8,0
01/11/2011,0,0,2.2,2.2,5.9,11.8,8.5,15,272.1,450.4,221.1,27
01/12/2011,0,0,2.2,2.5,5.6,11.8,10,15,271.1,449.8,220.1,27
01/01/2012,0,0,2.2,7.3,5.2,11.6,11.4,15,284,447.4,213.1,27
01/02/2012,0,0,0,9.2,0.1,0,6.7,0.8,14.6,0.5,0,0
01/03/2012,0,0,0,9,0,0,4.3,2.3,14.5,24.5,0.2,0.1
01/04/2012,0,0,0,4.8,1.3,0,2.3,2.1,1.9,27.2,0.2,0.2
01/05/2012,0,0,0.2,3.1,2.2,0,2.8,3.6,95.3,37,2.3,1
01/06/2012,0,0,0.8,1.7,2.2,0,13,2.2,116.5,13.2,2.1,0.9
01/07/2012,0,0,1,1.1,0.9,0,13.2,3.6,120,10.5,2.2,0.8
01/08/2012,0,0,0.8,1,0.1,0,10.8,2.6,35.1,0.7,0.4,0
01/09/2012,0,0,0.5,0.5,0.1,0,4.2,3.2,16,0.2,0.6,0
01/10/2012,0,0,0.3,0.4,0.1,0,6.5,2,11.7,0.7,0.6,0
01/11/2012,0,0,0.3,0.5,1.1,0,8.5,1.7,6.1,1.2,1.4,0
01/12/2012,0,0,0.1,0.9,1.1,0,6.9,1.5,3.2,1.4,1.2,0
01/01/2013,0,0,0.1,1.2,4.8,0,4.4,1.4,3.2,0.8,2.2,0
01/02/2013,0,0,0.1,1,3.7,0,4.3,0.6,0.2,0.7,1.1,0
01/03/2013,0,0,0,0.3,3.7,0,5.8,0.9,81.8,0.8,1.2,0.5
01/04/2013,0,0,0,1.6,0,0,7.4,1,107.9,0.8,0.6,0.7
01/05/2013,0,0,0.5,1.9,0,0,8.8,1.4,113.6,0.6,0.9,1.3
01/06/2013,0,0,1.8,2.2,0.7,0,6.5,1.1,80.9,25.1,1,1
01/07/2013,0,0,1.8,0.7,0.7,0,9.5,2.3,54.8,25.2,0.8,0.8
01/08/2013,0,0,1.3,1.3,0.7,0,8.3,2.5,50.1,25,0.8,0.2
01/09/2013,0,0,0,4.6,0,0,8.7,2.6,2.9,0.2,1.2,0
01/10/2013,0,0,0,4.5,0,0,4.4,1.6,3.5,154.6,1.2,0
01/11/2013,0,0,0,3.6,0,0,4.5,1.9,10.4,156.7,0.9,0
01/12/2013,0,0,0,0,0,0,2.7,1.4,14.6,188.9,0.3,0
01/01/2014,0,0,0,0,0,0,3.2,1.5,14.7,39.9,0.6,0
01/02/2014,0,0,0,0,0.5,0,9,1,6.8,59.9,1.6,0
01/03/2014,0,0,0,0.5,0.5,0,9,4.5,2.7,128.5,3.8,0
01/04/2014,0,0,0,1.2,0.5,0,17.2,4,3.1,123,3.3,0
01/05/2014,0,0.7,0,1.3,0,0,9.6,3.7,16.3,101.2,3.3,0
01/06/2014,0,1.2,0,1.6,0.7,0.3,10.5,0.5,41.7,5.3,1.4,0.1
01/07/2014,0,1.2,0,2.2,1.8,4.1,2.7,0.7,241.4,181.6,2.9,0.1
01/08/2014,0,0.5,0,2.1,1.8,4.1,2.9,1,252.5,181.3,2.8,0.5
01/09/2014,0,0,0,1.3,1.2,3.8,3.1,0.9,225.1,176.8,3.3,0.5
01/10/2014,0,0,0.4,0.4,0.1,0,2.7,0.7,108.9,0.6,16.7,0.6
01/11/2014,0,0,0.4,3.8,0.4,0.3,2,0.6,111.1,1.4,28.6,0.2
01/12/2014,0,0,0.4,4.2,0.3,0.6,2.3,0.7,121,2.1,27.8,0.1
01/01/2015,0,0,0,4.8,0.3,1.1,15.1,0.7,40.7,4.2,13.2,0.2
01/02/2015,0,0,0,2.8,0.1,0.8,27.5,0.6,21.2,3.5,0.5,3.3
01/03/2015,0,0,0.3,5.3,0.2,0.5,28.7,0.2,17.9,2.6,8.4,5.2
01/04/2015,0,0,0.7,4.5,0.7,0,16.7,0.2,13.7,0.7,10.9,5.8
01/05/2015,0,0,3,3.1,2,0,4.4,0.3,6.9,1,15.4,5.2
01/06/2015,0,0,2.7,1.1,1.9,0,2.8,0.7,0.6,1.8,9.4,5.4
01/07/2015,0,0,2.3,2.4,1.4,0,11.7,0.8,2.9,1.6,8.1,6
01/08/2015,0,0,0,4.5,0,0.6,26.2,0.6,3.6,1.2,3.7,6.9
01/09/2015,0,0.5,0,4.2,0,0.8,27.3,0.5,3.9,0.5,2.1,8.3
01/10/2015,0,0.5,0,3.2,0,0.8,18.7,0.7,1.6,0.4,0.5,7.3
01/11/2015,0,0.5,0,1.1,0,0.2,4.3,2.2,2.3,10,0.4,3.9
01/12/2015,0,0,0.1,0.6,0,0,2.9,1.9,3,16.7,0.1,0.4
01/01/2016,0,1.3,0.2,0.1,0,0,1.8,1.6,3,17.2,17.1,0
01/02/2016,0,1.3,0.7,0.1,1.1,0,1.5,0.2,1.4,9,31.7,0.4
01/03/2016,0,1.3,0.6,0,1.1,0,1.6,0.6,0.1,7.8,59.8,0.7
01/04/2016,0,0,0.8,0.1,1.2,0,1.6,0.8,0,8.2,112.1,1.7
01/05/2016,0,0,0.9,1.4,0.2,0,2.6,1.2,0.4,21.3,97.4,4.5
01/06/2016,0,1.1,0.9,2.9,0.2,2.3,7.2,1.3,0.8,20.3,69.3,4.2
01/07/2016,0,1.5,0.6,3.2,0.1,2.3,14.1,2.8,1,85,0,3.2
01/08/2016,0,1.5,0,2,0,2.3,17.5,2.5,0.6,70.5,0,0
01/09/2016,0,0.7,0,0.8,0,0,15.5,2.1,0.2,69.2,0.5,0
01/10/2016,0,0.3,0.2,0.4,0,0,13.4,0.8,0,4.5,1.6,0
01/11/2016,0,0.3,0.2,2.2,0,0,12.5,0.5,9.6,10.5,2.4,0
01/12/2016,0,0,0.2,2,0,0,26.7,0.7,9.7,8.1,1.9,0
01/01/2017,0,0,0,3.9,0,0,30.5,1.3,9.8,11.6,0.8,0
01/02/2017,0,0,0,2,0,0,46,1.7,0.3,6.6,0,0
01/03/2017,0,0,0,2.9,0,0,39.8,3.9,0.3,9,0,0
01/04/2017,0,0,0,6.4,0,0,37.1,8.1,0.2,7.7,0,0
01/05/2017,0,0,0,22.2,0,0,38.1,7.8,0.2,20.3,0,0
